ACQ_CHARTAGENT,ACQ_CLASS_TYPE_DESC,ACQ_CNTYNAME,ACQ_CNTYNUM,ACQ_FDICREGION,ACQ_FDICREGION_DESC,ACQ_INSTNAME,ACQ_ORGTYPE_NUM,ACQ_ORG_EFF_DTE,ACQ_PADDR,ACQ_PCITY,ACQ_PSTALP,ACQ_PSTNUM,ACQ_PZIP5,ACQ_PZIPREST,ACQ_REGAGENT,CHANGECODE_DESC_LONG,EFFDATE,EFFYEAR,OUT_CNTYNAME,OUT_CNTYNUM,OUT_FDICREGION,OUT_FDICREGION_DESC,OUT_INSTNAME,OUT_ORGTYPE_NUM,OUT_PADDR,OUT_PCITY,OUT_PSTALP,OUT_PSTNUM,OUT_PZIP5,OUT_PZIPREST,OUT_REGAGENT,PROCYEAR,PSTALP,REGAGENT,SUR_CHARTAGENT,SUR_CNTYNAME,SUR_CNTYNUM,SUR_FDICREGION,SUR_FDICREGION_DESC,SUR_CNTYNUM,SUR_MADDR,SUR_MCITY,SUR_MSTALP,SUR_MSTATE,SUR_MZIP5,SUR_ORGTYPE_NUM,SUR_INSTNAME,SUR_PADDR,SUR_PCITY,SUR_PSTALP,SUR_PSTNUM,SUR_PZIP5,SUR_PZIPREST,SUR_REGAGENT,
STATE,Commercial,NUECES,355,13,DALLAS,Charter Bank,10,2006-03-31T00:00:00,10502 LEOPARD STREET,CORPUS CHRISTI,TX,48,78410,0,FDIC,"Merged and became part of Charter Bank (18660) in Corpus Christi, TX. ",2011-02-01T00:00:00,2011,NUECES,355,13,DALLAS,Charter Alliance Bank,10,3701 SARATOGA BOULEVARD,CORPUS CHRISTI,TX,48,78415,0,FDIC,2011,TX,FDIC,STATE,NUECES,355,13,DALLAS,Charter Bank,P.O. BOX  10306,CORPUS CHRISTI,TX,TEXAS,78410,10,Charter Bank,10502 LEOPARD STREET,CORPUS CHRISTI,TX,48,78410,0,FDIC,
STATE,Commercial,ITASCA,61,11,KANSAS CITY,First State Bank of Bigfork,10,2006-03-31T00:00:00,400 MAIN AVENUE,BIGFORK,MN,27,56628,0,FDIC,"Merged and became part of First State Bank of Bigfork (10991) in Bigfork, MN. ",2011-01-01T00:00:00,2011,BELTRAMI,7,11,KANSAS CITY,Citizens State Bank of Kelliher,10,184 MAIN ST,KELLIHER,MN,27,56650,0,FDIC,2011,MN,FDIC,STATE,ITASCA,61,11,KANSAS CITY,First State Bank of Bigfork,P.O. BOX 257,BIGFORK,MN,MINNESOTA,56628,10,First State Bank of Bigfork,400 MAIN AVENUE,BIGFORK,MN,27,56628,0,FDIC,
STATE,Commercial,PIMA,19,14,SAN FRANCISCO,Southern Arizona Community Bank,10,2006-03-31T00:00:00,6400 NORTH ORACLE ROAD,TUCSON,AZ,4,85704,0,FDIC,"Merged and became part of Southern Arizona Community Bank (34708) in Tucson, AZ. ",2011-01-24T00:00:00,2011,PIMA,19,14,SAN FRANCISCO,Bank of Tucson,10,4400 EAST BROADWAY BOULEVARD,TUCSON,AZ,4,85711,0,FDIC,2011,AZ,FDIC,STATE,PIMA,19,14,SAN FRANCISCO,Southern Arizona Community Bank,4400 EAST BROADWAY,TUCSON,AZ,ARIZONA,85711,10,Southern Arizona Community Bank,6400 NORTH ORACLE ROAD,TUCSON,AZ,4,85704,0,FDIC,
OCC,Commercial,RANDOLPH,157,9,CHICAGO,Chester National Bank,10,2006-03-31T00:00:00,1112 STATE STREET,CHESTER,IL,17,62233,0,OCC,"Merged and became part of Chester National Bank (30220) in Chester, IL. ",2011-01-27T00:00:00,2011,PERRY,157,9,CHICAGO,Chester National Bank of Missouri,10,1010 NORTH MAIN STREET,PERRYVILLE,MO,29,63775,0,OCC,2011,IL,OCC,OCC,RANDOLPH,157,9,CHICAGO,Chester National Bank,P O BOX 327,CHESTER,IL,ILLINOIS,62233,10,Chester National Bank,1112 STATE STREET,CHESTER,IL,17,62233,0,OCC,
STATE,Commercial,TULSA,143,13,DALLAS,Peoples Bank,10,2006-03-31T00:00:00,445 SOUTH LEWIS AVENUE,TULSA,OK,40,74150,0,FDIC,"Merged and became part of Peoples Bank (9882) in Tulsa, OK. ",2011-02-12T00:00:00,2011,TULSA,143,13,DALLAS,American State Bank,10,3816 NORTH PEORIA AVENUE,TULSA,OK,40,74106,0,FDIC,2011,OK,FDIC,STATE,TULSA,143,13,DALLAS,Peoples Bank,P.O. BOX  50000,TULSA,OK,OKLAHOMA,74150,10,Peoples Bank,445 SOUTH LEWIS AVENUE,TULSA,OK,40,74150,0,FDIC,
STATE,Commercial,LARIMER,69,13,DALLAS,Verus Bank of Commerce,10,2011-02-12T00:00:00,"3700 S. COLLEGE AVENUE, UNIT 102",FORT COLLINS,CO,8,80525,0,FED,"Merged and became part of Verus Bank of Commerce (58025) in Fort Collins, CO. ",2011-02-12T00:00:00,2011,LARIMER,69,13,DALLAS,Loveland Bank of Commerce,10,102 EAST 29TH STREET,LOVELAND,CO,8,80538,0,FDIC,2011,CO,FED,STATE,LARIMER,69,13,DALLAS,Verus Bank of Commerce,"3700 South College Avenue, Unit 102",Fort Collins,CO,COLORADO,80525,10,Verus Bank of Commerce,"3700 S. COLLEGE AVENUE, UNIT 102",FORT COLLINS,CO,8,80525,0,FED,
STATE,Commercial,LARIMER,69,13,DALLAS,Fort Collins Commerce Bank,10,2006-03-31T00:00:00,"3700 S. COLLEGE AVENUE, UNIT 102",FORT COLLINS,CO,8,80525,0,FDIC,"Merged and became part of Fort Collins Commerce Bank (58025) in Fort Collins, CO. ",2011-02-12T00:00:00,2011,LARIMER,69,13,DALLAS,Larimer Bank of Commerce,10,1432 E. MULBERRY STREET,FORT COLLINS,CO,8,80524,0,FDIC,2011,CO,FED,STATE,LARIMER,69,13,DALLAS,Verus Bank of Commerce,"3700 South College Avenue, Unit 102",Fort Collins,CO,COLORADO,80525,10,Verus Bank of Commerce,"3700 S. COLLEGE AVENUE, UNIT 102",FORT COLLINS,CO,8,80525,0,FED,
STATE,N/A,SAINT LOUIS (CITY),510,11,KANSAS CITY,ANHEUSER-BUSCH EMPLOYEES CREDIT UNION,140,2010-04-30T00:00:00,1001 LYNCH STREET,SAINT LOUIS,MO,29,63118,,NCUA,"Merged and became part of ANHEUSER-BUSCH EMPLOYEES CREDIT UNION (49691) in Saint Louis, MO. The successor institution was not FDIC-insured.",2011-01-01T00:00:00,2011,SAINT LOUIS (CITY),510,11,KANSAS CITY,ST. MARGARETS CREDIT UNION,140,2165 SOUTH 39TH STREET,SAINT LOUIS,MO,29,63110,,NCUA,2011,MO,NCUA,STATE,SAINT LOUIS (CITY),510,11,KANSAS CITY,ANHEUSER-BUSCH EMPLOYEES CREDIT UNION,1001 LYNCH STREET,SAINT LOUIS,MO,MISSOURI,63118,140,ANHEUSER-BUSCH EMPLOYEES CREDIT UNION,1001 LYNCH STREET,SAINT LOUIS,MO,29,63118,,NCUA,
STATE,Commercial,LAFAYETTE,55,13,DALLAS,Iberiabank,10,2010-07-23T00:00:00,200 WEST CONGRESS STREET,LAFAYETTE,LA,22,70501,0,FED,"Merged and became part of Iberiabank (28100) in Lafayette, LA. ",2011-01-01T00:00:00,2011,PULASKI,119,13,DALLAS,IBERIABANK fsb,125,5800 R STREET,LITTLE ROCK,AR,5,72207,4416,OTS,2011,LA,FED,STATE,LAFAYETTE,55,13,DALLAS,Iberiabank,200 WEST CONGRESS STREET,LAFAYETTE,LA,LOUISIANA,70501,10,Iberiabank,200 WEST CONGRESS STREET,LAFAYETTE,LA,22,70501,0,FED,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2011-01-01T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2011-01-01T00:00:00,2011,WASHINGTON,143,13,DALLAS,"Bank of Arkansas, National Asssociation",10,3500 NORTH COLLEGE,FAYETTEVILLE,AR,5,72701,0,OCC,2011,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
