ACQ_CHARTAGENT,ACQ_CLASS_TYPE_DESC,ACQ_CNTYNAME,ACQ_CNTYNUM,ACQ_FDICREGION,ACQ_FDICREGION_DESC,ACQ_INSTNAME,ACQ_ORGTYPE_NUM,ACQ_ORG_EFF_DTE,ACQ_PADDR,ACQ_PCITY,ACQ_PSTALP,ACQ_PSTNUM,ACQ_PZIP5,ACQ_PZIPREST,ACQ_REGAGENT,CHANGECODE_DESC_LONG,EFFDATE,EFFYEAR,OUT_CNTYNAME,OUT_CNTYNUM,OUT_FDICREGION,OUT_FDICREGION_DESC,OUT_INSTNAME,OUT_ORGTYPE_NUM,OUT_PADDR,OUT_PCITY,OUT_PSTALP,OUT_PSTNUM,OUT_PZIP5,OUT_PZIPREST,OUT_REGAGENT,PROCYEAR,PSTALP,REGAGENT,SUR_CHARTAGENT,SUR_CNTYNAME,SUR_CNTYNUM,SUR_FDICREGION,SUR_FDICREGION_DESC,SUR_CNTYNUM,SUR_MADDR,SUR_MCITY,SUR_MSTALP,SUR_MSTATE,SUR_MZIP5,SUR_ORGTYPE_NUM,SUR_INSTNAME,SUR_PADDR,SUR_PCITY,SUR_PSTALP,SUR_PSTNUM,SUR_PZIP5,SUR_PZIPREST,SUR_REGAGENT,
STATE,Commercial,COOK,31,9,CHICAGO,North Community Bank,10,2006-03-31T00:00:00,2335 NORTH CLARK STREET,CHICAGO,IL,17,60614,0,FDIC,"Merged and became part of North Community Bank (20624) in Chicago, IL. ",2013-06-28T00:00:00,2013,COOK,31,9,CHICAGO,Metrobank,10,3322 SOUTH OAK PARK AVENUE,BERWYN,IL,17,60402,0,FDIC,2013,IL,FDIC,STATE,COOK,31,9,CHICAGO,North Community Bank,180 NORTH LASALLE STREET,CHICAGO,IL,ILLINOIS,60601,10,North Community Bank,2335 NORTH CLARK STREET,CHICAGO,IL,17,60614,0,FDIC,
STATE,Commercial,COOK,31,9,CHICAGO,North Community Bank,10,2006-03-31T00:00:00,2335 NORTH CLARK STREET,CHICAGO,IL,17,60614,0,FDIC,"Merged and became part of North Community Bank (20624) in Chicago, IL. ",2013-06-28T00:00:00,2013,COOK,31,9,CHICAGO,"Plaza Bank, Norridge, Illinois",10,7460 WEST IRVING PARK ROAD,NORRIDGE,IL,17,60706,0,FDIC,2013,IL,FDIC,STATE,COOK,31,9,CHICAGO,North Community Bank,180 NORTH LASALLE STREET,CHICAGO,IL,ILLINOIS,60601,10,North Community Bank,2335 NORTH CLARK STREET,CHICAGO,IL,17,60614,0,FDIC,
STATE,Commercial,COOK,31,9,CHICAGO,North Community Bank,10,2013-06-28T00:00:00,2335 NORTH CLARK STREET,CHICAGO,IL,17,60614,0,FDIC,"Merged and became part of North Community Bank (20624) in Chicago, IL. ",2013-06-28T00:00:00,2013,KENDALL,93,9,CHICAGO,Oswego Community Bank,10,10 SOUTH MADISON STREET,OSWEGO,IL,17,60543,0,FDIC,2013,IL,FDIC,STATE,COOK,31,9,CHICAGO,North Community Bank,180 NORTH LASALLE STREET,CHICAGO,IL,ILLINOIS,60601,10,North Community Bank,2335 NORTH CLARK STREET,CHICAGO,IL,17,60614,0,FDIC,
STATE,Commercial,PAGE,145,11,KANSAS CITY,PCSB Bank,10,2013-07-01T00:00:00,120 EAST WASHINGTON ST,CLARINDA,IA,19,51632,237,FDIC,"Merged and became part of PCSB Bank (14522) in Clarinda, IA. ",2013-07-01T00:00:00,2013,UNION,175,11,KANSAS CITY,First Federal Savings Bank of Creston,10,501 W. TAYLOR ST.,CRESTON,IA,19,50801,3521,FDIC,2013,IA,FDIC,STATE,PAGE,145,11,KANSAS CITY,PCSB Bank,P.O. BOX  237,CLARINDA,IA,IOWA,51632,10,PCSB Bank,120 EAST WASHINGTON ST,CLARINDA,IA,19,51632,237,FDIC,
STATE,Commercial,HARRISON,97,9,CHICAGO,Farmers Deposit Bank,10,2013-06-29T00:00:00,101 EAST PIKE STREET,CYNTHIANA,KY,21,41031,188,FDIC,"Merged and became part of Farmers Deposit Bank (266) in Cynthiana, KY. ",2013-06-29T00:00:00,2013,HARRISON,97,9,CHICAGO,The Farmers National Bank of Cynthiana,10,MAIN AND PIKE STREETS,CYNTHIANA,KY,21,41031,0,OCC,2013,KY,FDIC,STATE,HARRISON,97,9,CHICAGO,Farmers Deposit Bank,101 EAST PIKE STREET,CYNTHIANA,KY,KENTUCKY,41031,10,Farmers Deposit Bank,101 EAST PIKE STREET,CYNTHIANA,KY,21,41031,188,FDIC,
STATE,Commercial,ORANGE,59,14,SAN FRANCISCO,Pacific Premier Bank,10,2013-03-16T00:00:00,17901 VON KARMAN AVE SUITE 1200,IRVINE,CA,6,92614,0,FED,"Merged and became part of Pacific Premier Bank (32172) in Irvine, CA. ",2013-06-26T00:00:00,2013,SAN DIEGO,73,14,SAN FRANCISCO,San Diego Trust Bank,10,2550 FIFTH AVENUE,SAN DIEGO,CA,6,92103,0,FDIC,2013,CA,FED,STATE,ORANGE,59,14,SAN FRANCISCO,Pacific Premier Bank,17901 Von Karman Ave,Irvine,CA,CALIFORNIA,92614,10,Pacific Premier Bank,17901 VON KARMAN AVE SUITE 1200,IRVINE,CA,6,92614,0,FED,
STATE,Commercial,LOS ANGELES,37,14,SAN FRANCISCO,The Private Bank of California,10,2013-07-01T00:00:00,"10100 SANTA MONICA BOULEVARD, SUITE 2500",CENTURY CITY,CA,6,90067,0,FDIC,"Merged and became part of The Private Bank of California (57678) in Century City, CA. ",2013-07-01T00:00:00,2013,LOS ANGELES,37,14,SAN FRANCISCO,The Private Bank of California,10,"10100 SANTA MONICA BLVD, SUITE 2500",LOS ANGELES,CA,6,90067,0,FDIC,2013,CA,FDIC,STATE,LOS ANGELES,37,14,SAN FRANCISCO,The Private Bank of California,"10100 SANTA MONICA BOULEVARD, SUITE 2500",CENTURY CITY,CA,CALIFORNIA,90067,10,The Private Bank of California,"10100 SANTA MONICA BOULEVARD, SUITE 2500",CENTURY CITY,CA,6,90067,0,FDIC,
STATE,Savings,BUCKS,17,2,NEW YORK,3rd Fed Bank,115,2012-01-30T00:00:00,3 PENNS TRAIL,NEWTOWN,PA,42,18940,0,FDIC,"Merged and became part of 3rd Fed Bank (29132) in Newtown, PA. ",2013-07-03T00:00:00,2013,BURLINGTON,5,2,NEW YORK,Roebling Bank,115,RT 130 & DELAWARE AVENUE,ROEBLING,NJ,34,8554,0,OCC,2013,PA,FDIC,STATE,BUCKS,17,2,NEW YORK,3rd Fed Bank,3 PENNS TRAIL,NEWTOWN,PA,PENNSYLVANIA,18940,115,3rd Fed Bank,3 PENNS TRAIL,NEWTOWN,PA,42,18940,0,FDIC,
STATE,Commercial,FRESNO,19,14,SAN FRANCISCO,Central Valley Community Bank,10,2008-11-13T00:00:00,"7100 N. FINANCIAL DRIVE, SUITE101",FRESNO,CA,6,93720,1838,FDIC,"Merged and became part of Central Valley Community Bank (23030) in Fresno, CA. ",2013-07-01T00:00:00,2013,TULARE,107,14,SAN FRANCISCO,Visalia Community Bank,10,120 NORTH FLORAL STREET,VISALIA,CA,6,93291,0,FDIC,2013,CA,FDIC,STATE,FRESNO,19,14,SAN FRANCISCO,Central Valley Community Bank,P.O. BOX  3030,CLOVIS,CA,CALIFORNIA,93613,10,Central Valley Community Bank,"7100 N. FINANCIAL DRIVE, SUITE101",FRESNO,CA,6,93720,1838,FDIC,
STATE,Commercial,WAYNE,191,5,ATLANTA,Southern Bank and Trust Company,10,2011-09-23T00:00:00,100 NORTH CENTER STREET,MOUNT OLIVE,NC,37,28365,0,FDIC,"Merged and became part of Southern Bank and Trust Company (15359) in Mount Olive, NC. ",2013-07-01T00:00:00,2013,WILSON,195,5,ATLANTA,The Heritage Bank,10,106 SOUTH MAIN STREET,LUCAMA,NC,37,27851,0,FDIC,2013,NC,FDIC,STATE,WAYNE,191,5,ATLANTA,Southern Bank and Trust Company,P.O. BOX  729,MOUNT OLIVE,NC,NORTH CAROLINA,28365,10,Southern Bank and Trust Company,100 NORTH CENTER STREET,MOUNT OLIVE,NC,37,28365,0,FDIC,
STATE,Commercial,MCPHERSON,113,11,KANSAS CITY,The Citizens State Bank,10,2006-03-31T00:00:00,201 SOUTH CHRISTIAN AVENUE,MOUNDRIDGE,KS,20,67107,0,FDIC,"Merged and became part of The Citizens State Bank (17672) in Moundridge, KS. ",2013-07-01T00:00:00,2013,MCPHERSON,113,11,KANSAS CITY,"Home State Bank & Trust Co. of McPherson, Kansas",10,223 NORTH MAIN STREET,MCPHERSON,KS,20,67460,0,FDIC,2013,KS,FDIC,STATE,MCPHERSON,113,11,KANSAS CITY,The Citizens State Bank,P.O. BOX  110,MOUNDRIDGE,KS,KANSAS,67107,10,The Citizens State Bank,201 SOUTH CHRISTIAN AVENUE,MOUNDRIDGE,KS,20,67107,0,FDIC,
OCC,Commercial,NAVARRO,349,13,DALLAS,Community National Bank & Trust of Texas,10,2010-08-27T00:00:00,321 NORTH 15TH STREET,CORSICANA,TX,48,75110,0,OCC,"Merged and became part of Community National Bank & Trust of Texas (18185) in Corsicana, TX. ",2013-07-13T00:00:00,2013,PALO PINTO,363,13,DALLAS,First State Bank of Mineral Wells,10,101 SE 1ST STREET,MINERAL WELLS,TX,48,76067,0,FED,2013,TX,OCC,OCC,NAVARRO,349,13,DALLAS,Community National Bank & Trust of Texas,P.O. BOX  624,CORSICANA,TX,TEXAS,75151,10,Community National Bank & Trust of Texas,321 NORTH 15TH STREET,CORSICANA,TX,48,75110,0,OCC,
STATE,N/A,RENO,155,11,KANSAS CITY,HUTCHINSON CREDIT UNION,140,1948-12-31T00:00:00,900 EAST 23rd AVENUE,HUTCHINSON,KS,20,67502,,NCUA,"Merged and became part of HUTCHINSON CREDIT UNION (39064) in Hutchinson, KS. The successor institution was not FDIC-insured.",2013-07-01T00:00:00,2013,RENO,155,11,KANSAS CITY,HUTCHINSON NEWS CREDIT UNION,140,300 WEST 2ND AVENUE,HUTCHINSON,KS,20,67501,,NCUA,2013,KS,NCUA,STATE,RENO,155,11,KANSAS CITY,HUTCHINSON CREDIT UNION,PO BOX 1645,HUTCHINSON,KS,KANSAS,67504,140,HUTCHINSON CREDIT UNION,900 EAST 23rd AVENUE,HUTCHINSON,KS,20,67502,,NCUA,
OCC,Commercial,TITUS,449,13,DALLAS,"Guaranty Bond Bank, National Association",10,2012-07-02T00:00:00,100 WEST ARKANSAS STREET,MOUNT PLEASANT,TX,48,75455,0,OCC,"Merged and became part of Guaranty Bond Bank, National Association (1208) in Mount Pleasant, TX. ",2013-07-20T00:00:00,2013,HARRISON,203,13,DALLAS,The First State Bank,10,500 WEST MAIN STREET,HALLSVILLE,TX,48,75650,0,FDIC,2013,TX,OCC,OCC,TITUS,449,13,DALLAS,"Guaranty Bond Bank, National Association",P.O. BOX  1158,MOUNT PLEASANT,TX,TEXAS,75455,10,"Guaranty Bond Bank, National Association",100 WEST ARKANSAS STREET,MOUNT PLEASANT,TX,48,75455,0,OCC,
STATE,Savings,BRAZOS,41,13,DALLAS,"Spirit of Texas Bank, SSB",115,2011-10-28T00:00:00,625 UNIVERSITY DRIVE,COLLEGE STATION,TX,48,77840,0,FDIC,"Merged and became part of Spirit of Texas Bank, SSB (22327) in College Station, TX. ",2013-07-12T00:00:00,2013,TARRANT,439,13,DALLAS,Peoples Bank,10,5712  COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,48,76034,0,FDIC,2013,TX,FDIC,STATE,BRAZOS,41,13,DALLAS,"Spirit of Texas Bank, SSB",625 UNIVERSITY DRIVE,COLLEGE STATION,TX,TEXAS,77840,115,"Spirit of Texas Bank, SSB",625 UNIVERSITY DRIVE,COLLEGE STATION,TX,48,77840,0,FDIC,
STATE,Commercial,THURSTON,67,14,SAN FRANCISCO,Heritage Bank,10,2013-06-20T00:00:00,"201 5TH AVENUE, S.W.",OLYMPIA,WA,53,98501,0,FDIC,"Merged and became part of Heritage Bank (29012) in Olympia, WA. ",2013-07-15T00:00:00,2013,PIERCE,53,14,SAN FRANCISCO,Valley Bank,10,1307 EAST MAIN STREET,PUYALLUP,WA,53,98371,0,FDIC,2013,WA,FDIC,STATE,THURSTON,67,14,SAN FRANCISCO,Heritage Bank,P.O. BOX 1578,OLYMPIA,WA,WASHINGTON,98507,10,Heritage Bank,"201 5TH AVENUE, S.W.",OLYMPIA,WA,53,98501,0,FDIC,
NCUA,N/A,COLLIN,85,13,DALLAS,IN TOUCH CREDIT UNION,140,2010-02-16T00:00:00,5240 TENNYSON PARKWAY,PLANO,TX,48,75024,3596,NCUA,"Merged and became part of IN TOUCH CREDIT UNION (37067) in Plano, TX. The successor institution was not FDIC-insured.",2013-07-01T00:00:00,2013,DALLAS,113,13,DALLAS,DR PEPPER EMPLOYEE FEDERAL CREDIT UNION,140,8144 WALNUT HILL LANE,DALLAS,TX,48,75231,4372,NCUA,2013,TX,NCUA,NCUA,COLLIN,85,13,DALLAS,IN TOUCH CREDIT UNION,5420 DEMOCRACY DRIVE,PLANO,TX,TEXAS,75024,140,IN TOUCH CREDIT UNION,5240 TENNYSON PARKWAY,PLANO,TX,48,75024,3596,NCUA,
STATE,N/A,HARRIS,201,13,DALLAS,First Service Credit Union,140,2010-12-31T00:00:00,9621 WEST SAM HOUSTON PARKWAY NORTH,HOUSTON,TX,48,77064,5556,NCUA,"Merged and became part of First Service Credit Union (47851) in Houston, TX. The successor institution was not FDIC-insured.",2013-04-01T00:00:00,2013,HARRIS,201,13,DALLAS,EL PASO ENERGY FEDERAL CREDIT UNION,140,"1010 MILAM, RM #1003",HOUSTON,TX,48,77252,,NCUA,2013,TX,NCUA,STATE,HARRIS,201,13,DALLAS,First Service Credit Union,9621 WEST SAM HOUSTON PARKWAY NORTH,HOUSTON,TX,TEXAS,77064,140,First Service Credit Union,9621 WEST SAM HOUSTON PARKWAY NORTH,HOUSTON,TX,48,77064,5556,NCUA,
STATE,Commercial,WILLIAMSON,491,13,DALLAS,R Bank,10,2013-04-10T00:00:00,1900 ROUND ROCK AVENUE,ROUND ROCK,TX,48,78681,0,FDIC,"Merged and became part of R Bank (58935) in Round Rock, TX. ",2013-08-01T00:00:00,2013,BURNET,53,13,DALLAS,Farmers State Bank,10,360 EAST VAUGHAN STREET,BERTRAM,TX,48,78605,0,FDIC,2013,TX,FDIC,STATE,WILLIAMSON,491,13,DALLAS,R Bank,1900 ROUND ROCK AVENUE,ROUND ROCK,TX,TEXAS,78681,10,R Bank,1900 ROUND ROCK AVENUE,ROUND ROCK,TX,48,78681,0,FDIC,
STATE,Commercial,MERCER,57,11,KANSAS CITY,The Union Bank,10,2006-03-31T00:00:00,1700 HIGHWAY 49 NORTH,BEULAH,ND,38,58523,0,FDIC,"Merged and became part of The Union Bank (9420) in Beulah, ND. ",2013-08-01T00:00:00,2013,MCLEAN,55,11,KANSAS CITY,First State Bank of Wilton,10,110 DAKOTA AVENUE,WILTON,ND,38,58579,0,FDIC,2013,ND,FDIC,STATE,MERCER,57,11,KANSAS CITY,The Union Bank,P.O. BOX 789,BEULAH,ND,NORTH DAKOTA,58523,10,The Union Bank,1700 HIGHWAY 49 NORTH,BEULAH,ND,38,58523,0,FDIC,
STATE,Commercial,PULASKI,119,13,DALLAS,Bank of the Ozarks,10,2011-04-29T00:00:00,17901 CHENAL PARKWAY,LITTLE ROCK,AR,5,72223,0,FDIC,"Merged and became part of Bank of the Ozarks (110) in Little Rock, AR. ",2013-08-01T00:00:00,2013,CLEVELAND,45,5,ATLANTA,The First National Bank of Shelby,10,106 SOUTH LAFAYETTE STREET,SHELBY,NC,37,28150,0,OCC,2013,AR,FDIC,STATE,PULASKI,119,13,DALLAS,Bank of the Ozarks,18000 Cantrell Rd,Little Rock,AR,ARKANSAS,72223,10,Bank of the Ozarks,17901 CHENAL PARKWAY,LITTLE ROCK,AR,5,72223,0,FDIC,
STATE,Commercial,FLATHEAD,29,14,SAN FRANCISCO,Glacier Bank,10,2013-02-27T00:00:00,49 COMMONS LOOP,KALISPELL,MT,30,59901,2679,FDIC,"Merged and became part of Glacier Bank (30788) in Kalispell, MT. ",2013-08-01T00:00:00,2013,CHELAN,7,14,SAN FRANCISCO,North Cascades National Bank,10,220 NORTH JOHNSON STREET,CHELAN,WA,53,98816,0,OCC,2013,MT,FDIC,STATE,FLATHEAD,29,14,SAN FRANCISCO,Glacier Bank,P O  BOX  27,KALISPELL,MT,MONTANA,59901,10,Glacier Bank,49 COMMONS LOOP,KALISPELL,MT,30,59901,2679,FDIC,
OCC,Savings,BUNCOMBE,21,5,ATLANTA,HomeTrust Bank,115,2012-07-10T00:00:00,10 WOODFIN STREET,ASHEVILLE,NC,37,28801,0,OCC,"Merged and became part of HomeTrust Bank (27677) in Asheville, NC. ",2013-08-01T00:00:00,2013,GREENVILLE,45,5,ATLANTA,BankGreenville,10,499 WOODRUFF ROAD,GREENVILLE,SC,45,29607,0,FDIC,2013,NC,OCC,OCC,BUNCOMBE,21,5,ATLANTA,HomeTrust Bank,P.O. BOX 10,ASHEVILLE,NC,NORTH CAROLINA,28802,115,HomeTrust Bank,10 WOODFIN STREET,ASHEVILLE,NC,37,28801,0,OCC,
STATE,Commercial,HARDIN,83,11,KANSAS CITY,Security State Bank,10,2006-03-31T00:00:00,207 ISABELLA STREET,RADCLIFFE,IA,19,50230,0,FDIC,"Merged and became part of Security State Bank (18448) in Radcliffe, IA. ",2013-08-06T00:00:00,2013,HARDIN,83,11,KANSAS CITY,Security State Bank,10,211 EAST MAPLE STREET,HUBBARD,IA,19,50122,0,FDIC,2013,IA,FDIC,STATE,HARDIN,83,11,KANSAS CITY,Security State Bank,P. O. BOX 380,RADCLIFFE,IA,IOWA,50230,10,Security State Bank,207 ISABELLA STREET,RADCLIFFE,IA,19,50230,0,FDIC,
OCC,Commercial,JEFFERSON,245,13,DALLAS,"CommunityBank of Texas, N.A.",10,2012-03-01T00:00:00,5999 DELAWARE STREET,BEAUMONT,TX,48,77706,0,OCC,"Merged and became part of CommunityBank of Texas, N.A. (3363) in Beaumont, TX. ",2013-08-24T00:00:00,2013,HARRIS,201,13,DALLAS,Vista Bank Texas,10,"1415 LOUISIANA, SUITE 400",HOUSTON,TX,48,77002,0,FDIC,2013,TX,OCC,OCC,JEFFERSON,245,13,DALLAS,"CommunityBank of Texas, N.A.",5999 DELAWARE STREET,BEAUMONT,TX,TEXAS,77706,10,"CommunityBank of Texas, N.A.",5999 DELAWARE STREET,BEAUMONT,TX,48,77706,0,OCC,
STATE,N/A,HARRIS,201,13,DALLAS,Investex Credit Union,140,2004-11-12T00:00:00,905 ALDINE BENDER ROAD,HOUSTON,TX,48,77032,2896,NCUA,"Merged and became part of Investex Credit Union (51660) in Houston, TX. The successor institution was not FDIC-insured.",2013-07-01T00:00:00,2013,HARRIS,201,13,DALLAS,StarTrust Federal Credit Union,140,"500 DALLAS STREET, SUITE P-110",HOUSTON,TX,48,77002,0,NCUA,2013,TX,NCUA,STATE,HARRIS,201,13,DALLAS,Investex Credit Union,905 ALDINE BENDER ROAD,HOUSTON,TX,TEXAS,77032,140,Investex Credit Union,905 ALDINE BENDER ROAD,HOUSTON,TX,48,77032,2896,NCUA,
STATE,Commercial,WHARTON,481,13,DALLAS,Commercial State Bank,10,2013-08-24T00:00:00,401 NORTH MECHANIC STREET,EL CAMPO,TX,48,77437,0,FDIC,"Merged and became part of Commercial State Bank (2409) in El Campo, TX. ",2013-08-24T00:00:00,2013,MATAGORDA,321,13,DALLAS,The City State Bank of Palacios,10,459 MAIN STREET,PALACIOS,TX,48,77465,0,FDIC,2013,TX,FDIC,STATE,WHARTON,481,13,DALLAS,Commercial State Bank,P.O. BOX  150,EL CAMPO,TX,TEXAS,77437,10,Commercial State Bank,401 NORTH MECHANIC STREET,EL CAMPO,TX,48,77437,0,FDIC,
STATE,N/A,MADISON,119,9,CHICAGO,GCS CREDIT UNION,140,2012-07-31T00:00:00,3970 MARYVILLE ROAD,GRANITE CITY,IL,17,62040,0,NCUA,"Merged and became part of GCS CREDIT UNION (39154) in Granite City, IL. The successor institution was not FDIC-insured.",2013-07-01T00:00:00,2013,MADISON,119,9,CHICAGO,EGYPTIAN CREDIT UNION,140,1100 EASTPORT PLAZA DRIVE,COLLINSVILLE,IL,17,62234,,NCUA,2013,IL,NCUA,STATE,MADISON,119,9,CHICAGO,GCS CREDIT UNION,3970 MARYVILLE ROAD,GRANITE CITY,IL,ILLINOIS,62040,140,GCS CREDIT UNION,3970 MARYVILLE ROAD,GRANITE CITY,IL,17,62040,0,NCUA,
STATE,Commercial,JOHNSON,91,11,KANSAS CITY,CrossFirst Bank,10,2013-08-24T00:00:00,4707 WEST 135TH ST,LEAWOOD,KS,20,66224,0,FDIC,"Merged and became part of CrossFirst Bank (58648) in Leawood, KS. ",2013-08-24T00:00:00,2013,TULSA,143,13,DALLAS,Tulsa National Bank,10,7120 SOUTH LEWIS AVENUE,TULSA,OK,40,74136,0,OCC,2013,KS,FDIC,STATE,JOHNSON,91,11,KANSAS CITY,CrossFirst Bank,POST OFFICE BOX 27107,OVERLAND PARK,KS,KANSAS,66225,10,CrossFirst Bank,4707 WEST 135TH ST,LEAWOOD,KS,20,66224,0,FDIC,
STATE,Commercial,RICHLAND,79,5,ATLANTA,SCBT,10,2012-12-13T00:00:00,520 GERVAIS STREET,COLUMBIA,SC,45,29201,6738,FDIC,"Merged and became part of SCBT (13425) in Columbia, SC. ",2013-07-26T00:00:00,2013,CHARLESTON,19,5,ATLANTA,First Federal Bank,10,2440 MALL DRIVE,CHARLESTON,SC,45,29406,0,FED,2013,SC,FDIC,STATE,RICHLAND,79,5,ATLANTA,SCBT,520 GERVAIS STREET,COLUMBIA,SC,SOUTH CAROLINA,29201,10,SCBT,520 GERVAIS STREET,COLUMBIA,SC,45,29201,6738,FDIC,
STATE,Commercial,LOS ANGELES,37,14,SAN FRANCISCO,BBCN Bank,10,2013-05-02T00:00:00,"3731 WILSHIRE BOULEVARD, SUITE 1000",LOS ANGELES,CA,6,90010,0,FDIC,"Merged and became part of BBCN Bank (26610) in Los Angeles, CA. ",2013-08-13T00:00:00,2013,COOK,31,9,CHICAGO,The Foster Bank,10,5233 NORTH KEDZIE AVENUE,CHICAGO,IL,17,60625,0,FDIC,2013,CA,FDIC,STATE,LOS ANGELES,37,14,SAN FRANCISCO,BBCN Bank,3200 WILSHIRE BOULEVARD,LOS ANGELES,CA,CALIFORNIA,90010,10,BBCN Bank,"3731 WILSHIRE BOULEVARD, SUITE 1000",LOS ANGELES,CA,6,90010,0,FDIC,
STATE,Commercial,JACKSON,95,11,KANSAS CITY,Commerce Bank,10,2011-06-29T00:00:00,1000 WALNUT STREET,KANSAS CITY,MO,29,64106,0,FED,"Merged and became part of Commerce Bank (24998) in Kansas City, MO. ",2013-09-01T00:00:00,2013,TULSA,143,13,DALLAS,Summit Bank,10,"5314 SOUTH YALE, SUITE 100",TULSA,OK,40,74135,0,FDIC,2013,MO,FED,STATE,JACKSON,95,11,KANSAS CITY,Commerce Bank,8000 Forsyth Boulevard,St. Louis,MO,MISSOURI,63105,10,Commerce Bank,1000 WALNUT STREET,KANSAS CITY,MO,29,64106,0,FED,
NCUA,N/A,CLARK,19,9,CHICAGO,One Vision Federal Credit Union,140,2008-12-31T00:00:00,206 WEST LEWIS AND CLARK PARKWAY,CLARKSVILLE,IN,18,47129,0,NCUA,"Merged and became part of One Vision Federal Credit Union (43255) in Clarksville, IN. The successor institution was not FDIC-insured.",2013-08-31T00:00:00,2013,CLARK,19,9,CHICAGO,CLARK COUNTY INDIANA TEACHERS FEDERAL CREDIT UNION,140,3828 HAMBURG PIKE,JEFFERSONVILLE,IN,18,47130,,NCUA,2013,IN,NCUA,NCUA,CLARK,19,9,CHICAGO,One Vision Federal Credit Union,P O BOX 2007,CLARKSVILLE,IN,INDIANA,47129,140,One Vision Federal Credit Union,206 WEST LEWIS AND CLARK PARKWAY,CLARKSVILLE,IN,18,47129,0,NCUA,
STATE,Commercial,MARTIN,85,5,ATLANTA,Harbor Community Bank,10,2012-09-14T00:00:00,15588 SOUTHWEST WARFIELD BOULEVARD,INDIANTOWN,FL,12,34956,3509,FDIC,"Merged and became part of Harbor Community Bank (18149) in Indiantown, FL. ",2013-08-29T00:00:00,2013,ST. JOHNS,109,5,ATLANTA,Bank of St. Augustine,115,120 STATE ROAD 312 WEST,SAINT AUGUSTINE,FL,12,32086,0,OCC,2013,FL,FDIC,STATE,MARTIN,85,5,ATLANTA,Harbor Community Bank,"200 S. INDIAN RIVER DRIVE, SUITE 101",FORT PIERCE,FL,FLORIDA,34950,10,Harbor Community Bank,15588 SOUTHWEST WARFIELD BOULEVARD,INDIANTOWN,FL,12,34956,3509,FDIC,
STATE,Commercial,DOUGLAS,35,13,DALLAS,Northstar Bank of Colorado,10,2013-08-10T00:00:00,6654 TIMBERLINE ROAD,HIGHLANDS RANCH,CO,8,80130,0,FED,"Merged and became part of Northstar Bank of Colorado (23058) in Highlands Ranch, CO. ",2013-08-10T00:00:00,2013,DOUGLAS,35,13,DALLAS,Colorado Community Bank,10,6654 TIMBERLAND ROAD,HIGHLANDS RANCH,CO,8,80130,0,FED,2013,CO,FED,STATE,DOUGLAS,35,13,DALLAS,Northstar Bank of Colorado,6654 TIMBERLINE ROAD,HIGHLANDS RANCH,CO,COLORADO,80130,10,Northstar Bank of Colorado,6654 TIMBERLINE ROAD,HIGHLANDS RANCH,CO,8,80130,0,FED,
STATE,Commercial,STANLY,167,5,ATLANTA,Uwharrie Bank,10,2013-09-01T00:00:00,167 NORTH SECOND STREET,ALBEMARLE,NC,37,28001,0,FED,"Merged and became part of Uwharrie Bank (24919) in Albemarle, NC. ",2013-09-01T00:00:00,2013,ANSON,7,5,ATLANTA,Anson Bank & Trust Co.,115,211 SOUTH GREENE STREET,WADESBORO,NC,37,28170,0,FED,2013,NC,FED,STATE,STANLY,167,5,ATLANTA,Uwharrie Bank,P.O. BOX 338,ALBEMARLE,NC,NORTH CAROLINA,28002,10,Uwharrie Bank,167 NORTH SECOND STREET,ALBEMARLE,NC,37,28001,0,FED,
STATE,Commercial,STANLY,167,5,ATLANTA,Uwharrie Bank,10,2013-09-01T00:00:00,167 NORTH SECOND STREET,ALBEMARLE,NC,37,28001,0,FED,"Merged and became part of Uwharrie Bank (24919) in Albemarle, NC. ",2013-09-01T00:00:00,2013,CABARRUS,25,5,ATLANTA,Cabarrus Bank & Trust Company,10,"25 PALASIDE DRIVE, N.E.",CONCORD,NC,37,28026,1970,FED,2013,NC,FED,STATE,STANLY,167,5,ATLANTA,Uwharrie Bank,P.O. BOX 338,ALBEMARLE,NC,NORTH CAROLINA,28002,10,Uwharrie Bank,167 NORTH SECOND STREET,ALBEMARLE,NC,37,28001,0,FED,
STATE,Savings,BERKSHIRE,3,2,NEW YORK,MountainOne Bank,115,2013-07-20T00:00:00,93 MAIN STREET,NORTH ADAMS,MA,25,1247,0,FDIC,"Merged and became part of MountainOne Bank (90253) in North Adams, MA. ",2013-07-20T00:00:00,2013,PLYMOUTH,23,2,NEW YORK,South Coastal Bank,115,279 UNION STREET,ROCKLAND,MA,25,2370,0,FDIC,2013,MA,FDIC,STATE,BERKSHIRE,3,2,NEW YORK,MountainOne Bank,93 MAIN STREET,NORTH ADAMS,MA,MASSACHUSETTS,1247,115,MountainOne Bank,93 MAIN STREET,NORTH ADAMS,MA,25,1247,0,FDIC,
